"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
11,0.14391,0.17056,0.19272,0.2163,0.24202,0.2636,0.623,0.624,,0.977151,0.235,,0.978383,0.25
11.1,0.15305,0.17988,0.20226,0.22592,0.25177,0.27316,0.62982,0.62836,,0.979574,0.24268,,0.980807,0.25776
11.2,0.16302,0.18998,0.21256,0.23625,0.2622,0.28333,0.63648,0.63264,,0.981968,0.25132,,0.983172,0.26644
11.3,0.17384,0.20087,0.22362,0.24729,0.27329,0.29411,0.64298,0.63684,,0.984332,0.26092,,0.985479,0.27604
11.4,0.1855,0.21254,0.23543,0.25904,0.28506,0.3055,0.64932,0.64096,,0.986666,0.27148,,0.987728,0.28656
11.5,0.198,0.225,0.248,0.2715,0.2975,0.3175,0.6555,0.645,,0.988971,0.283,,0.989918,0.298
11.6,0.21836,0.24398,0.2663,0.28889,0.31419,0.33312,0.66152,0.648892,,0.991246,0.30684,,0.99205,0.3143
11.7,0.24537,0.26912,0.29062,0.31192,0.33626,0.35347,0.66738,0.652724,,0.993491,0.35436,,0.994124,0.3394
11.8,0.28381,0.30466,0.32445,0.34351,0.3658,0.38046,0.67308,0.656508,,0.995706,0.430793,,0.996139,0.3733
11.9,0.34005,0.35622,0.37245,0.38757,0.40565,0.4166,0.67862,0.660261,,0.997892,0.567859,,0.998096,0.416
12,0.45048,0.45627,0.46289,0.46856,0.4756,0.47904,0.684,0.663997,,1,0.663,,1,0.5
12.1,0.65995,0.64378,0.62755,0.61243,0.59435,0.5834,0.68925,0.667733,,,0.68196,,,0.584
12.2,0.71619,0.69534,0.67555,0.65649,0.6342,0.61954,0.6944,0.671485,,,0.69864,,,0.6267
12.3,0.75463,0.73088,0.70938,0.68808,0.66374,0.64653,0.69945,0.675269,,,0.71304,,,0.6606
12.4,0.78164,0.75602,0.7337,0.71111,0.68581,0.66688,0.7044,0.679101,,,0.72516,,,0.6857
12.5,0.802,0.775,0.752,0.7285,0.7025,0.6825,0.70925,0.682997,,,0.735,,,0.702
12.6,0.8145,0.78746,0.76457,0.74096,0.71494,0.6945,0.714,0.686651,,,0.74344,,,0.71344
12.7,0.82616,0.79913,0.77638,0.75271,0.72671,0.70589,0.71865,0.690267,,,0.75136,,,0.72396
12.8,0.83698,0.81002,0.78744,0.76375,0.7378,0.71667,0.7232,0.693859,,,0.75876,,,0.73356
12.9,0.84695,0.82012,0.79774,0.77408,0.74823,0.72684,0.72765,0.697435,,,0.76564,,,0.74224
13,0.85609,0.82944,0.80728,0.7837,0.75798,0.7364,0.732,0.701003,,,0.772,,,0.75
13.1,0.86438,0.83797,0.81606,0.79261,0.76705,0.74535,0.73625,0.704728,,,0.77796,,,0.75718
13.2,0.87183,0.84572,0.82409,0.80081,0.77546,0.7537,0.7404,0.708384,,,0.78364,,,0.76412
13.3,0.87843,0.85268,0.83137,0.8083,0.78319,0.76143,0.74445,0.711976,,,0.78904,,,0.77082
13.4,0.8842,0.85885,0.83788,0.81508,0.79026,0.76855,0.7484,0.715512,,,0.79416,,,0.77728
13.5,0.88912,0.86424,0.84364,0.82114,0.79665,0.77506,0.75225,0.719,,,0.799,,,0.7835
13.6,0.89224,0.86778,0.84752,0.82533,0.80117,0.77979,0.756,0.722448,,,0.8036,,,0.78948
13.7,0.89533,0.87128,0.85134,0.82947,0.80564,0.78447,0.75965,0.725864,,,0.808,,,0.79522
13.8,0.89837,0.87473,0.85513,0.83357,0.81006,0.7891,0.7632,0.729255,,,0.8122,,,0.80072
13.9,0.90137,0.87815,0.85887,0.83761,0.81443,0.79368,0.76665,0.732631,,,0.8162,,,0.80598
14,0.90434,0.88151,0.86256,0.84161,0.81875,0.7982,0.77,0.735999,,,0.82,,,0.811
14.1,0.90726,0.88484,0.8662,0.84556,0.82302,0.80268,0.77329,0.739392,,,0.823665,,,0.815842
14.2,0.91015,0.88812,0.8698,0.84947,0.82725,0.80711,0.77656,0.74277,,,0.82726,,,0.82057
